00035,2017-03,2.7303,0.21,4.39,2.9225,0.28,2.91,51.0,0.28,2.91,46.0,-0.09,3.56
00035,2017-09,3.1668,0.72,5.64,3.6888,-0.09,3.56,46.0,-0.09,3.56,69.0,-0.43,2.52
00035,2018-03,3.8484,0.6,4.74,3.7672,-0.43,2.52,69.0,-0.43,2.52,26.8,-0.36,2.55
00036,2015-12,1.0,-2.2,29.32,0.69,-0.16,26.77,7.29,-0.16,26.77,-11.15,0.1,24.22
00036,2016-06,0.53,-0.26,9.43,0.6,0.1,24.22,-11.15,0.1,24.22,-4.95,-0.5,14.8
00036,2016-12,0.62,0.68,44.65,0.83,-0.5,14.8,-4.95,-0.5,14.8,-5.46,0.0,13.31
00036,2017-06,0.74,-0.14,3.32,0.69,0.0,13.31,-5.46,0.0,13.31,6.38,-0.03,7.84
00036,2017-12,0.58,-0.07,5.36,0.65,-0.03,7.84,6.38,-0.03,7.84,-2.98,-0.19,5.98
00036,2018-06,0.65,0.14,38.99,0.56,-0.19,5.98,-2.98,-0.19,5.98,-9.73,-0.12,2.11
00037,2015-09,0.35,0.61,186.01,0.435,-0.48,50.78,-1.63,-0.48,50.78,-1.76,-0.02,2.9
00037,2016-03,0.42,-0.02,8.46,0.31,-0.02,2.9,-1.76,-0.02,2.9,-0.16,0.14,22.6
00037,2016-09,0.35,-0.04,8.2,0.34,0.14,22.6,-0.16,0.14,22.6,-0.79,-0.04,5.11
00037,2017-03,0.42,-0.06,3.94,0.365,-0.04,5.11,-0.79,-0.04,5.11,1.36,0.01,4.67
00037,2017-09,0.365,0.02,11.82,0.4,0.01,4.67,1.36,0.01,4.67,1.22,0.02,9.11
00037,2018-03,0.385,-0.1,3.68,0.375,0.02,9.11,1.22,0.02,9.11,-0.97,-0.03,1.96
00038,2017-06,4.2304,0.19,36.82,3.8467,-0.54,22.94,3.26,-0.54,22.94,5.72,-0.34,22.74
00038,2017-12,3.6,-0.2,20.77,3.05,-0.34,22.74,5.72,-0.34,22.74,-17.45,-0.29,4.48
00038,2018-06,2.85,-0.47,10.03,2.51,-0.29,4.48,-17.45,-0.29,4.48,-150.51,-0.5,2.35
00039,2015-12,0.28,-0.74,38.0,0.645,0.07,16.05,0.51,0.07,16.05,0.29,-0.01,11.0
00039,2016-06,0.43,-0.31,12.86,0.33,-0.01,11.0,0.29,-0.01,11.0,0.15,-0.02,9.43
